movie_id,stage,Text,Quality
,,,
"Quality: 3-Best, 2-Middle, 1-Bad",,,
,,,
,,,
,,,
,,,
#Movie 1: Off the ship,,,
Movies/114206952,0,  Upset boy sits in the train station ,3
Movies/114206952,0,  The boy waits for the train to arrive in the train station,3
Movies/114206952,0,  The boy sits at night in the train station next to a wall,3
Movies/114206952,0,  Boy in train station with people in the background,2
Movies/114206952,0,  Alone at night in the station,2
Movies/114206952,0,  A soldier running away on a battlefield  ,1
Movies/114206952,0,  Many athletes running towards the finish line  ,1
Movies/114206952,0,  Animals in the zoo  ,1
Movies/114206952,0,  A crying baby at night  ,1
,,,
,,    ,
,,,
Movies/114206952,3,  A blonde receptionist hands-off pamphlets to a group of elegantly dressed men and women  ,3
Movies/114206952,3,  A group of people queueing up in front of a reception desk  ,3
Movies/114206952,3,  A group of men and women get papers from a blond clerk in a travel reception desk  ,3
Movies/114206952,3,  Men in suits and dressed up ladies line up in front of a reception desk where a lady receptionist hands over some documents  ,3
Movies/114206952,3,  A lady buys a newspaper  ,2
Movies/114206952,3,  A man stands in line to get tickets in a hall  ,2
Movies/114206952,3,  A frightened crowd of poor people running away in fear  ,1
Movies/114206952,3,  An elephant in the jungle  ,1
Movies/114206952,3,  A lion chases a cat in the street  ,1
Movies/114206952,3,  A boy plays with a ball  ,1
,,    ,
#Movie 2: Renaissance scene,,    ,
Movies/114207324,0,"  A nobleman looks up at the entrance to a room full of people, next to a window with a vase of flowers in a renaissance scene  ",3
Movies/114207324,0,  A grey-haired renaissance man at the entrance to a hall next to flowers  ,3
Movies/114207324,0,  A pony-tailed renaissance nobleman looks up and sideways at the door of a hall while people are getting in  ,3
Movies/114207324,0,  A renaissance man stands next to an armed guard at the doorway next to a vase with flowers on a window  ,3
Movies/114207324,0,"  At a wooden doorstep, stands a renaissance nobleman with a grey pony-tail, looking up, next to flowers, window, and candle holder, while people are getting in  ",3
Movies/114207324,0,  A man looking up next to a candle holder  ,2
Movies/114207324,0,"  Next to a window, a vase with flowers and a fancy candle holder stands a person with a ponytail  ",2
Movies/114207324,0,"  A person looks up, while 3 pony-tailed renaissance men are getting into the hall  ",3
Movies/114207324,0,  A person looks up at the doorstep next to flowers  ,2
Movies/114207324,0,  A lady runs away  ,1
,,    ,
,,    ,
# Movie 3: Lord of the Rings,,    ,
Movies/114207908,0,  A blue-eyed bearded warrior with a metal helmet and shield puts his arm on a blonde lady with 3 armed soldiers in the background  ,3
Movies/114207908,0,"  A crowned knight puts his left arm on the shoulder of a blonde lady facing away, with three soldiers with helmets, shields, and spears in the background  ",3
Movies/114207908,0,  A bearded knight puts his arm on the shoulder of a lady  ,3
Movies/114207908,0,  Three soldiers with weapons watch a knight who puts his arm on the shoulder of a blond lady shown from behind  ,3
Movies/114207908,0,  A warrior watches behind the shoulder of a lady while he puts his arm on her shoulder  ,3
Movies/114207908,0,  A knight embraces a lady in front of warriors  ,2
Movies/114207908,0,  A couple embracing on the battlefield  ,2
Movies/114207908,0,  A queen and a king looking at each other  ,2
Movies/114207908,0,  A singer sings the blues  ,1
Movies/114207908,0,  A horse in the desert  ,1
,,    ,
Movies/114207908,1,"  Two Elves are looking forward to making room for a third Elf from behind, with a flag with a tree in the background  ",3
Movies/114207908,1,"  Three men with very long hair dressed up in white with a cloth banner depicting a tree, in the background  ",3
Movies/114207908,1,"  Two men at the front and a third man at the back, all with very long hair and jewelry gaze forward  ",3
Movies/114207908,1,  Two princes and a king face forward  ,2
Movies/114207908,1,  Men around a cloth banner of tree  ,2
Movies/114207908,1,  Men with very long hair and crowns gaze forward  ,2
Movies/114207908,1,  Three men are looking forward  ,2
Movies/114207908,1,  A tree in the rain  ,1
Movies/114207908,1,  A ship in the sea  ,1
Movies/114207908,1,  A horse in the desert  ,1
,,    ,
#Movie 4: Only the last (long) scene element,,    ,
Movies/114208149,2,"  A US Coastal Guard boat cruises fast, with staff wearing life-jackets underneath a bridge with high-rises in the background  ",3
Movies/114208149,2,  A motorboat speeds underneath a bridge with staff wearing life-jackets  ,3
Movies/114208149,2,  A police boat sails very fast in a city waterway  ,3
